channel1,,,,,,,,channel 2,,,,,,,,channel 3,,,,,,,,channel 4,,,,,,,,channel 5,,,,,,,,channel 6,,,,,,,,channel 7,,,,,,,,channel 8,,,,,,,,,,,,,,
mx_peak,mean,peak_ratio,median,integral,mean moobility,mean_complexity,activity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,Gesture,1,2,3,4,5,6
0.124759956,0.042382264,0.079063512,0.358135454,0.330055197,1.116552185,0.999083589,0.000508613,0.309464329,0.116326669,0.404331372,0.931913022,0.905892019,1.082474335,1.025332605,0.004065049,0.358163191,0.129513233,0.438906064,0.983017782,1.008584165,1.008791554,1.041108572,0.007316042,0.730499282,0.211288234,1,1.455360143,1.645456347,0.934586879,1.0014931,0.02092872,0.588052888,0.241712585,0.805001322,2.037815565,1.882336703,1.045921003,1.026377849,0.018607281,0.676077482,0.185089334,0.541999283,1.455714753,1.44143986,0.894493695,1.032801536,0.021173267,0.303133234,0.072384135,0.155854639,0.567711032,0.563697831,0.947162582,0.913438742,0.002975769,0.118195756,0.028575782,0.049518747,0.210332248,0.222537878,0.970017767,0.960364007,0.000386999,3,0,0,1,0,0,0
0.610883906,0.122846081,0.229630447,0.76063474,0.817814631,0.819844687,0.948115576,0.013330633,1,0.243287944,1,1.533544846,1.619593379,0.93868713,0.91401265,0.040338931,1,0.250830266,0.968569431,1.494429995,1.66981057,0.902352191,0.964385506,0.043250179,0.78247781,0.254225409,0.43793871,1.863324245,1.692414566,0.949422109,1.091164477,0.036310507,0.532764968,0.176268126,0.358254765,1.241702108,1.173424054,1.083899144,1.002588177,0.011261008,0.183985767,0.065265646,0.150730892,0.469383942,0.434459233,1.338467611,0.99514324,0.000968042,0.143859422,0.05238325,0.109736669,0.383743371,0.348712662,1.078785725,1.018760895,0.001090713,0.127730014,0.036617588,0.073461042,0.253236753,0.243770905,0.888541403,1.065829478,0.000729669,4,0,0,0,1,0,0
0.77738611,0.234630459,0.121785234,1.458599003,1.345921936,0.82579624,0.923989389,0.033896795,0.213365708,0.102170981,0.172904757,0.584083838,0.586052601,1.298346223,0.972585288,0.001878895,0.128807359,0.068844368,0.07120379,0.368870351,0.394894604,1.459673002,0.955560151,0.000613373,0.422421452,0.158117279,0.146951155,0.877665773,0.907001979,0.953366168,1.060263605,0.007838125,0.596973703,0.23955413,0.299014999,1.378814128,1.374152889,0.957044308,1.064022561,0.019673935,0.892459833,0.214601553,0.708490156,1.13123277,1.231070982,0.832780237,0.983888486,0.027864105,0.996857188,0.195706419,1,1.056379141,1.122675729,0.84232102,1.00059473,0.029075555,0.566517083,0.180990444,0.232377633,1.144354995,1.038229281,0.830672802,1.039095791,0.018830353,5,0,0,0,0,1,0
0.77738611,0.234630459,0.121785234,1.458599003,1.345921936,0.82579624,0.923989389,0.033896795,0.213365708,0.102170981,0.172904757,0.584083838,0.586052601,1.298346223,0.972585288,0.001878895,0.128807359,0.068844368,0.07120379,0.368870351,0.394894604,1.459673002,0.955560151,0.000613373,0.422421452,0.158117279,0.146951155,0.877665773,0.907001979,0.953366168,1.060263605,0.007838125,0.596973703,0.23955413,0.299014999,1.378814128,1.374152889,0.957044308,1.064022561,0.019673935,0.892459833,0.214601553,0.708490156,1.13123277,1.231070982,0.832780237,0.983888486,0.027864105,0.996857188,0.195706419,1,1.056379141,1.122675729,0.84232102,1.00059473,0.029075555,0.566517083,0.180990444,0.232377633,1.144354995,1.038229281,0.830672802,1.039095791,0.018830353,6,0,0,0,0,0,1
0.499365265,0.058919748,1.419459831,0.733401718,1.174392002,0.737246501,0.743025953,0.011577953,0.258821956,0.03661831,0.780610767,0.51476552,0.729722966,0.842937642,0.941699618,0.002885687,0.372475885,0.047156137,1.302084633,0.67486601,0.940147547,0.870548234,0.750923093,0.004965315,0.343081353,0.043464515,1,0.553652034,0.866175696,0.744811022,0.762863852,0.00503041,0.275484615,0.055618634,0.470100172,1.376344872,1.10811546,1.072939521,1.525724487,0.001947427,0.155663767,0.048784635,0.544162474,1.220284558,0.972597546,1.291377173,1.188722882,0.00067525,0.134682736,0.066723143,0.438693239,1.881114711,1.330046485,1.515504956,1.198315138,0.000832183,0.205531902,0.044072602,0.596105128,1.045570579,0.878802299,0.924634951,0.888724977,0.001536779,1,1,0,0,0,0,0
1,0.330982533,1,1.719140574,1.740042469,0.93161471,1.011615295,0.069498965,0.939272802,0.317663305,0.822124811,1.833621367,1.67000511,0.850960707,0.991160987,0.058113812,0.175809442,0.080152241,0.08380138,0.397743278,0.421319123,1.443163941,1.109095809,0.000980995,0.65994565,0.146791636,0.152747042,0.705770694,0.771680502,0.914118186,0.982714034,0.012805644,0.456006361,0.149527169,0.106223753,0.697187081,0.786066609,1.011353169,1.086073072,0.010576572,0.320175615,0.082948632,0.045357166,0.42824931,0.436015443,1.112620962,0.981444735,0.001963149,0.667599886,0.229780258,0.350862844,1.255725992,1.207993411,0.851293506,0.960405447,0.023336596,0.612067715,0.18390899,0.293207232,0.962561704,0.966877333,0.884874819,0.877490621,0.017923934,2,0,1,0,0,0,0
0.551064119,0.227419113,0.310406177,1.776139243,1.715610882,0.869887029,0.968532155,0.013885522,0.298193431,0.085248075,0.126378588,0.633924698,0.643109458,0.872408999,1.036611325,0.002187501,0.222493762,0.087755713,0.15902088,0.627666924,0.661997158,0.961501878,1.008001187,0.002074331,0.115116015,0.055005049,0.078801295,0.40881076,0.414928788,1.096333214,1.057825484,0.000561649,0.144044938,0.051526062,0.071556238,0.377941058,0.388669509,1.194660331,0.984118857,0.00038727,0.154703037,0.063065558,0.099960007,0.454564254,0.475749822,1.107056037,0.99176743,0.000695793,0.536020941,0.217192553,0.524975873,1.558448697,1.638509878,1.010348956,0.970177444,0.011449216,0.723104369,0.273264022,1,2.162504367,2.061424505,0.887803557,0.982966119,0.021483896,3,0,0,1,0,0,0
0.84540777,0.257288267,0.445385843,1.037660951,0.939579638,1.073377763,1.013271092,0.03237185,1,0.285627618,1,0.796783538,1.043175545,0.974886583,0.952378467,0.059516057,1,0.288133525,0.927039025,1.184534897,1.0523259,0.989069775,1.071543556,0.041785442,1,0.332497132,0.680193293,1.608681354,1.214359257,1.031063353,1.034060098,0.05336397,1,0.265794725,0.568566613,0.92333455,0.9707483,0.969085622,0.951539485,0.047553944,1,0.243421549,0.343848648,0.659415258,0.88903256,0.923066889,0.990238576,0.047099239,1,0.264324009,0.473451013,0.741477077,0.965356364,0.973883519,1.012805325,0.047409347,0.735813428,0.25340222,0.514312026,1.048112377,0.925422437,1.065566495,0.9741634,0.030591722,4,0,0,0,1,0,0
0.241028567,0.095864484,0.227936214,0.70053417,0.664514969,1.274535465,1.038722327,0.002171234,0.589876351,0.137932351,0.255684258,0.945950752,0.956257815,0.884053417,1.008755368,0.008309291,0.608265309,0.176160723,0.590437288,1.254748027,1.221261744,0.875657186,1.016231098,0.013259009,0.632647248,0.18941202,0.760742869,1.27220815,1.313149111,0.896778914,0.998194495,0.016943824,0.760865071,0.135977501,1,0.87235612,0.942664012,1.024299619,0.915367674,0.009663747,0.496780545,0.119621291,0.652089165,0.777743436,0.829283162,1.022427948,0.955927299,0.006389581,0.72747016,0.199133403,0.311639356,1.438361385,1.380486975,0.964106428,1.03485868,0.015846356,0.292585808,0.099874885,0.119135987,0.738097959,0.692382211,1.058141022,1.031943059,0.003124393,5,0,0,0,0,1,0
0.863055103,0.238878132,1,1.331170862,1.338563461,0.950988171,0.914797678,0.02770435,0.732803156,0.235699989,0.534685337,1.221947666,1.320675857,0.96705992,1.0000041,0.023743809,0.695981112,0.2260571,0.504067371,1.29948743,1.266620762,0.951515989,0.999717218,0.017697109,0.412721388,0.136243089,0.169547437,0.705754072,0.763369924,1.178610685,0.984809804,0.005535892,0.283977689,0.093399886,0.109869657,0.500214223,0.523290444,1.024739963,1.023096084,0.002559805,0.257437536,0.087150457,0.207470388,0.481532696,0.488281252,0.972040592,1.083892309,0.002050954,0.443779622,0.128746325,0.259559429,0.721171886,0.72137946,0.958142771,1.027314036,0.005410628,0.815707883,0.281569703,0.911326307,1.738721165,1.577818841,0.996901909,0.966368771,0.035133161,6,0,0,0,0,0,1
0.168302295,0.031046903,0.180649585,0.730315913,0.773431773,0.695711871,1.032487736,0.000509133,0.144111728,0.033199559,0.112453222,0.795380091,0.826929787,0.866194028,1.096922607,0.000410591,0.147469961,0.041680677,0.159860225,1.016726653,1.038586505,0.911722502,0.930142076,0.000464424,0.141232169,0.031780317,0.318913075,0.683509275,0.791757185,0.79981629,0.868525553,0.000511014,0.127588864,0.044985745,0.650979246,1.218495181,1.120926792,1.115844099,1.115423095,0.000372219,0.121818724,0.042878761,0.360645588,1.057433422,1.068592624,1.108254399,1.056224562,0.000335855,0.135608847,0.065187213,1,1.687232713,1.624761092,1.262524253,0.975340298,0.000480171,0.058927204,0.030290764,0.204470653,0.810906751,0.755014241,1.239932557,0.924934073,0.000109299,1,1,0,0,0,0,0
0.305927979,0.093131495,0.160491831,0.901925077,0.945513348,0.933145042,0.983329075,0.002738463,0.245698844,0.099966223,0.179069453,1.075085558,1.015030759,0.927264983,1.086222271,0.002204942,0.377435426,0.117209732,0.200315473,1.17374983,1.190090298,0.988302635,0.993527024,0.003715706,0.232248007,0.074161507,0.179235866,0.843077827,0.752980386,1.031540411,0.99172583,0.001411304,0.129755719,0.066498234,0.192304219,0.712732369,0.675154142,1.159439276,1.04512558,0.000605835,0.134000113,0.058659117,0.167724019,0.635889221,0.595576186,1.331846372,1.003793499,0.000369312,0.556320108,0.178993126,1,1.777873135,1.817470172,0.939107572,0.9963715,0.010647741,0.484435928,0.099305562,0.33538294,0.879666984,1.008184709,0.689353709,0.899905221,0.006455143,2,0,1,0,0,0,0
